	Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
L001	ASM1913465v1	127	53	74	2	28532	152021	0.716216	0.027027	1343455	1213048
L002	ASM215146v1	11	0	11	0	0	182058	0	0	1397034	1225332
L003	ASM215148v1	14	0	14	0	0	182058	0	0	1381200	1209499
L004	ASM215150v1	0	0	0	0	0	182058	0	0	1409740	1238039
L005	ASM2466215v1	3	0	3	0	0	203878	0	0	1426332	1226851
L006	ASM2466217v1	4	0	4	0	0	308352	0	0	1385258	1103018
L007	ASM2466219v1	2	0	2	0	0	190385	0	0	1518464	1328059
L008	ASM336729v1	417	79	338	4	42409	189785	0.233728	0.011834	1379272	1251288
L009	ASM4079071v1	211	78	133	9	92079	331620	0.586466	0.067669	1386152	1099348
L010	ASM4079073v1	25	19	6	3	3108	222389	3.166667	0.5	1394402	1186776
L011	ASM4079074v1	8	0	8	0	0	352785	0	0	1433413	1086968
L012	ASM4079075v1	805	152	653	5	18622	288731	0.232772	0.007657	1414544	1185887
L013	ASM4079076v1	146	82	64	6	56453	226968	1.28125	0.09375	1404007	1234499
L014	ASM4079077v1	3	0	3	0	0	191136	0	0	1493153	1302616
L015	ASM4079078v1	145	61	84	6	56453	211178	0.72619	0.071429	1411480	1243798
L016	ASM4079079v1	34	15	19	2	30572	300582	0.789474	0.105263	1396531	1122143
L017	ASM4079080v1	6	0	6	0	0	182058	0	0	1406487	1227630
L018	B331PP	22	14	8	1	0	212764	1.75	0.125	1417502	1219410
L019	B418PP	20	8	12	1	0	352785	0.666667	0.083333	1430235	1083790
L020	B500PP	33	22	11	2	0	213317	2	0.181818	1435401	1230597
L021	ESI26H	420	219	201	4	72527	223623	1.089552	0.0199	1320847	1138601
L022	ESI36H	65	0	65	0	0	144701	0	0	1345307	1217531
L023	ESI403H	257	79	178	5	74350	210387	0.44382	0.02809	1434643	1266714
L024	ESI425H	87	14	73	1	23459	149642	0.191781	0.013699	1352996	1222430
L025	PFhe_I_PB_Ill_cons	442	146	296	4	72527	236170	0.493243	0.013514	1404401	1217178
L026	UCT109H	9	0	9	0	0	182440	0	0	1503490	1321462
L027	UCT110H	32	32	0	2	34461	313875	0	0	1403636	1115296
L028	UCT113H	147	79	68	8	97351	223291	1.161765	0.117647	1401988	1212206
L029	UCT124H	30	9	21	1	36969	166234	0.428571	0.047619	1489267	1323150
L030	UCT29H	18	11	7	1	37762	186600	1.571429	0.142857	1514485	1332329
L031	UCT30H	25	23	2	1	27464	299991	11.5	0.5	1410553	1136073
L032	UCT31H	23	18	5	2	55728	183424	3.6	0.4	1485196	1307052
L033	UCT32H	1	0	1	0	0	313875	0	0	1403522	1115176
L034	UCT35H	11	5	6	1	16424	170125	0.833333	0.166667	1386843	1254127
L035	UCT50H	12	0	12	0	0	352785	0	0	1410000	1063724
L036	UCT92H	19	8	11	1	31353	316659	0.727273	0.090909	1408731	1120333
L037	UCT96H	29	23	6	3	67195	169199	3.833333	0.5	1479586	1313436
L038	UNY1032P	14	6	8	1	37762	183657	0.75	0.125	1502274	1320384
L039	UNY1038P	1	0	1	0	0	308352	0	0	1406334	1123874
L040	UNY1083P	7	0	7	0	0	45540	0	0	1406700	1361155
L041	UNY1085P	18	11	7	1	0	272000	1.571429	0.142857	1416055	1149999
L042	UNY1090P	0	0	0	0	0	225126	0	0	1396871	1187495
L043	UNY1128P	62	10	52	2	21497	46832	0.192308	0.038462	1413255	1367710
L044	UNY149P	4	0	4	0	0	313875	0	0	1401864	1113488
L045	UNY169P	21	18	3	1	0	357963	6	0.333333	1429306	1082850
L046	UNY172P	4	0	4	0	0	272000	0	0	1413622	1147577
L047	UNY193P	45	20	25	1	16424	253909	0.8	0.04	1415037	1207244
L048	UNY203P	18	13	5	2	21497	172588	2.6	0.4	1370707	1236401
L049	UNY208P	0	0	0	0	0	225126	0	0	1396923	1187547
L050	UNY990P	5	0	5	0	0	170865	0	0	1416928	1249971
L051	URI101H	10	9	1	1	37762	185882	9	1	1511103	1329076
L052	URI102H	0	0	0	0	0	183512	0	0	1500248	1317147
L053	URI103H	1	0	1	0	0	308352	0	0	1401935	1119087
L054	URI107H	0	0	0	0	0	183512	0	0	1503820	1320706
L055	URI111H	2	0	2	0	0	181207	0	0	1511662	1330986
L056	URI112H	10	0	10	0	0	299991	0	0	1410839	1136355
L057	URI117H	4	0	4	0	0	308352	0	0	1401208	1118385
L058	URI118H	7	0	7	0	0	308352	0	0	1386825	1105872
L059	URI120H	18	0	18	0	0	173251	0	0	1515097	1342035
L060	URI33H	9	0	9	0	0	162705	0	0	1418655	1259860
L061	URI34H	45	24	21	2	21497	256464	1.142857	0.095238	1402501	1192994
L062	URI36H	64	50	14	4	16799	220619	3.571429	0.285714	1444489	1244035
L063	URI39H	37	30	7	1	36969	181657	4.285714	0.142857	1514964	1337297
L064	URI40H	10	5	5	1	36969	182204	1	0.2	1506247	1325571
L065	URI41H	20	10	10	1	36969	182413	1	0.1	1481227	1303431
L066	URI42H	2	0	2	0	0	181207	0	0	1471814	1291138
L067	URI44H	3	0	3	0	0	303101	0	0	1401918	1124724
L068	URI46H	1	0	1	0	0	303101	0	0	1407939	1130750
L069	URI47H	2	0	2	0	0	313875	0	0	1410905	1122540
L070	URI48H	3	0	3	0	0	170865	0	0	1414166	1247209
L071	URI56H	22	12	10	1	0	211363	1.2	0.1	1417013	1212240
L072	URI86H	5	0	5	0	0	308352	0	0	1399252	1116408
L073	URI87H	8	0	8	0	0	182440	0	0	1503881	1321840
L074	URI88H	6	0	6	0	0	221405	0	0	1421489	1209313
L075	URI89H	20	11	9	2	55728	180161	1.222222	0.222222	1516605	1338529
L076	URI91H	7	0	7	0	0	179849	0	0	1509557	1329959
L077	URI93H	3	0	3	0	0	183512	0	0	1508968	1325867
L078	UWI247P	51	24	27	2	24337	204872	0.888889	0.074074	1387991	1204349
L079	UWI248P	61	21	40	3	24337	200357	0.525	0.075	1388621	1204958
L080	UWI263P	243	129	114	8	86478	353124	1.131579	0.070175	1394556	1107700
L081	UWI283P	130	34	96	4	11467	258824	0.354167	0.041667	1384542	1146385
L082	XYZ459H	4	0	4	0	0	272000	0	0	1382879	1120600
L083	Node_1	0	0	0	0	0	313875	0	0	1408891	1120487
L084	Node_2	0	0	0	0	0	313875	0	0	1416020	1127616
L085	Node_3	0	0	0	0	0	313875	0	0	1416022	1127618
L086	Node_4	30	25	5	2	30572	313875	5	0.4	1416202	1133321
L087	Node_5	3	0	3	0	0	308352	0	0	1401991	1119138
L088	Node_6	5	0	5	0	0	308352	0	0	1408783	1126323
L089	Node_7	0	0	0	0	0	308352	0	0	1409342	1126488
L090	Node_8	1	0	1	0	0	308352	0	0	1409351	1126497
L091	Node_9	1	0	1	0	0	308352	0	0	1409379	1126523
L092	Node_10	35	28	7	1	27464	308352	4	0.142857	1416292	1141770
L093	Node_11	1	0	1	0	0	299991	0	0	1416428	1141906
L094	Node_12	22	19	3	2	30572	303101	6.333333	0.666667	1408023	1133547
L095	Node_13	1	0	1	0	0	299991	0	0	1416710	1142188
L096	Node_14	1	0	1	0	0	299991	0	0	1418059	1143512
L097	Node_15	693	275	418	8	107306	300121	0.657895	0.019139	1418493	1286342
L098	Node_16	623	363	260	16	209870	317488	1.396154	0.061538	1412308	1279975
L099	Node_17	368	120	248	7	106442	157858	0.483871	0.028226	1423971	1344211
L100	Node_18	280	154	126	9	131066	192124	1.222222	0.071429	1388993	1258220
L101	Node_19	31	20	11	2	3108	225126	1.818182	0.181818	1396923	1194242
L102	Node_20	28	18	10	2	3108	221405	1.8	0.2	1422233	1213012
L103	Node_21	159	90	69	7	91532	218432	1.304348	0.101449	1422472	1230087
L104	Node_22	230	105	125	7	91532	199863	0.84	0.056	1426054	1292934
L105	Node_23	652	107	545	4	64331	137937	0.19633	0.007339	1428005	1348083
L106	Node_24	1717	294	1423	6	82907	82907	0.206606	0.004216	1434317	1434317
L107	Node_25	2357	59	2298	1	16424	45540	0.025674	0.000435	1413701	1378323
L108	Node_26	1343	333	1010	10	90612	245143	0.329703	0.009901	1418394	1302280
L109	Node_27	1172	94	1078	4	35374	169152	0.087199	0.003711	1399768	1286134
L110	Node_28	816	152	664	5	41986	146244	0.228916	0.00753	1428797	1356332
L111	Node_29	331	73	258	4	42409	183434	0.282946	0.015504	1422021	1293169
L112	Node_30	968	42	926	2	28532	142817	0.045356	0.00216	1424480	1309931
L113	Node_31	4	0	4	0	0	144701	0	0	1353379	1222810
