	CDS	GeneName	Start	End	Repl	NumRec	NumAffectedTaxa
L0001	BB_0001	ND	105	677	chr	3	55
L0002	BB_0002	ND	768	1796	chr	4	55
L0003	BB_0004	ND	3419	5188	chr	3	9
L0004	BB_0005	trpS	5251	6306	chr	1	3
L0005	BB_0006	ND	6309	7397	chr	0	0
L0006	BB_0007	ND	7458	8315	chr	0	0
L0007	BB_0008	ND	8427	9197	chr	0	0
L0008	BB_0009	ND	9202	10206	chr	1	25
L0009	BB_0010	ND	10203	10577	chr	3	29
L0010	BB_0011	ND	10581	11420	chr	3	29
L0011	BB_0012	truA	11421	12161	chr	3	29
L0012	BB_0013	ND	12154	12753	chr	4	33
L0013	BB_0014	priA	12746	14728	chr	4	33
L0014	BB_0015	udk	14725	15345	chr	5	43
L0015	BB_0016	ND	15345	15716	chr	5	43
L0016	BB_0017	ND	15995	16804	chr	5	43
L0017	BB_0019	ND	17792	18304	chr	6	49
L0018	BB_0022	ruvB	21058	22101	chr	5	49
L0019	BB_0023	ruvA	22146	22739	chr	6	49
L0020	BB_0024	ND	22819	23958	chr	7	49
L0021	BB_0025	ND	23965	24696	chr	7	49
L0022	BB_0026	ND	24697	25623	chr	7	49
L0023	BB_0027	ND	25753	26391	chr	5	43
L0024	BB_0028	ND	26399	27448	chr	6	43
L0025	BB_0029	ND	27434	27865	chr	6	43
L0026	BB_0030	lepB	27855	28490	chr	6	43
L0027	BB_0031	lepB	28492	29472	chr	6	43
L0028	BB_0032	ND	29543	31015	chr	6	43
L0029	BB_0033	smpB	31027	31479	chr	4	33
L0030	BB_0034	ND	31550	32089	chr	4	33
L0031	BB_0035	ND	32157	34037	chr	4	33
L0032	BB_0036	ND	34037	35836	chr	3	12
L0033	BB_0037	ND	35857	36609	chr	3	9
L0034	BB_0039	ND	38136	39638	chr	2	8
L0035	BB_0040	cheR	39826	40677	chr	0	0
L0036	BB_0042	phoU	40761	41432	chr	1	1
L0037	BB_0043	ND	41443	42483	chr	2	4
L0038	BB_0044	ND	42480	42881	chr	1	3
L0039	BB_0045	ND	42907	45354	chr	1	3
L0040	BB_0046	rnhB	45446	45991	chr	1	3
L0041	BB_0047	ND	46011	46379	chr	1	3
L0042	BB_0048	ND	46601	46771	chr	1	3
L0043	BB_0050	ND	47167	47841	chr	1	3
L0044	BB_0051	ND	47917	48606	chr	1	3
L0045	BB_0052	ND	48603	49259	chr	1	3
L0046	BB_0053	ung	49341	50012	chr	1	3
L0047	BB_0054	ND	50112	50474	chr	1	3
L0048	BB_0055	tpiA	50490	51251	chr	1	3
L0049	BB_0056	pgk	51253	52434	chr	1	3
L0050	BB_0057	gap	52454	53461	chr	1	3
L0051	BB_0058	ND	53534	55504	chr	1	3
L0052	BB_0059	ND	55501	56280	chr	1	3
L0053	BB_0060	ND	56281	56748	chr	1	3
L0054	BB_0061	trx	56832	57185	chr	1	3
L0055	BB_0062	ND	57259	57975	chr	1	3
L0056	BB_0063	ND	58029	58982	chr	1	3
L0057	BB_0064	fmt	59101	60039	chr	1	3
L0058	BB_0065	def	60036	60533	chr	1	3
L0059	BB_0066	ND	60568	61257	chr	0	0
L0060	BB_0068	ND	63147	64028	chr	0	0
L0061	BB_0069	ND	64038	65276	chr	0	0
L0062	BB_0070	ND	65291	65752	chr	1	7
L0063	BB_0072	ND	67248	69569	chr	2	8
L0064	BB_0073	ND	69566	70126	chr	2	8
L0065	BB_0074	prfB	70142	70200	chr	2	8
L0066	BB_0074	prfB	70202	71219	chr	2	8
L0067	BB_0075	ND	71201	72610	chr	2	8
L0068	BB_0076	ftsY	72647	73492	chr	1	1
L0069	BB_0080	ND	75774	76454	chr	0	0
L0070	BB_0081	ND	76451	77701	chr	2	6
L0071	BB_0082	ND	77711	79009	chr	2	6
L0072	BB_0083	ND	79002	79322	chr	2	6
L0073	BB_0084	ND	79505	80773	chr	2	6
L0074	BB_0085	ND	80983	81408	chr	2	6
L0075	BB_0086	ND	81405	82940	chr	1	1
L0076	BB_0087	ND	82970	83920	chr	0	0
L0077	BB_0088	lepA	84041	85720	chr	0	0
L0078	BB_0089	ND	85880	86854	chr	0	0
L0079	BB_0090	ND	86926	87360	chr	0	0
L0080	BB_0092	ND	89200	89808	chr	0	0
L0081	BB_0093	ND	89811	91115	chr	0	0
L0082	BB_0095	ND	92878	93423	chr	0	0
L0083	BB_0096	ND	93433	94032	chr	0	0
L0084	BB_0097	ND	94219	94605	chr	0	0
L0085	BB_0098	ND	94611	96953	chr	0	0
