	bin_name	genome_name	gene_callers_id	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	COG20_FUNCTION_ACC	COG20_FUNCTION	Pfam_ACC	Pfam	KEGG_Module_ACC	KEGG_Module	KEGG_BRITE_ACC	KEGG_BRITE	COG20_PATHWAY_ACC	COG20_PATHWAY	COG20_CATEGORY_ACC	COG20_CAT_ACC	COG20_CATEGORY	KOfam_ACC	KOfam	KEGG_Class_ACC	KEGG_Class
GC_00000001	EVERYTHING	ASM1913465v1	911	82	1067	23	0	0.708615524	0.708266406	0.708440922	ND	ND	PF02890.19	Borrelia family of unknown function DUF226	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000002	EVERYTHING	ASM1913465v1	995	82	696	14	0	0.941554985	0.774338918	0.849799242	ND	ND	PF03112.19	Uncharacterized protein family (ORF7) DUF	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000003	EVERYTHING	ASM1913465v1	922	82	660	15	0	0.983799992	0.694204086	0.814012294	COG3567	"Uncharacterized conserved protein, DUF1073 domain"	PF06381.16	Anti-CBASS protein Acb1-like	ND	ND	ND	ND	ND	ND	S	S	Function unknown	ND	ND	ND	ND
GC_00000004	EVERYTHING	ASM1913465v1	921	82	650	27	0	0.982771803	0.761131562	0.857867073	COG1783	Phage terminase large subunit (XtmB) (PDB:4IDH)	PF03237.20	"Terminase large subunit, T4likevirus-type, N-terminal"	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair	ND	ND	X	X	"Mobilome: prophages, transposons"	K06909	phage terminase large subunit	ND	ND
GC_00000005	EVERYTHING	ASM1913465v1	1006	82	627	13	0	0.777076465	0.718491121	0.746636321	ND	ND	PF02989.19	Lyme disease proteins of unknown function	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000006	EVERYTHING	ASM1913465v1	948	82	615	12	0	0.648686126	0.706743643	0.676471487	ND	ND	PF03304.18	Mlp lipoprotein family	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000007	EVERYTHING	ASM1913465v1	1157	82	592	13	0	0.800141705	0.689767646	0.740866362	ND	ND	PF02524.19	KID repeat	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000008	EVERYTHING	ASM1913465v1	1002	82	582	12	0	0.91617932	0.79171588	0.849412442	ND	ND	PF04645.17	"Protein of unknown function, DUF603"	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000009	EVERYTHING	ASM1913465v1	834	82	574	15	0	0.976162765	0.755186469	0.851572747	ND	ND	PF07094.16	Protein of unknown function (DUF1357)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000010	EVERYTHING	ASM1913465v1	916	82	561	11	0	0.97816412	0.953315109	0.96557977	ND	ND	PF03196.18	"Protein of unknown function, DUF261"	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000011	EVERYTHING	ASM1913465v1	944	82	556	11	0	0.969198146	0.73416371	0.835465587	ND	ND	PF05289.16	Borrelia hemolysin accessory protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000012	EVERYTHING	ASM1913465v1	926	82	547	12	0	0.976820409	0.82139904	0.892393136	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000013	EVERYTHING	ASM1913465v1	1155	82	545	14	0	0.97381193	0.933567491	0.953265145	ND	ND	PF02999.19	Borrelia orf-D family	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000014	EVERYTHING	ASM1913465v1	853	82	535	12	0	0.967756379	0.834056771	0.895946132	ND	ND	PF03434.18	DUF276 	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000015	EVERYTHING	ASM1913465v1	856	82	527	10	0	0.978369971	0.976641204	0.977504823	ND	ND	PF05289.16	Borrelia hemolysin accessory protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000016	EVERYTHING	ASM1913465v1	1008	82	527	16	0	0.94086039	0.835560514	0.885089552	ND	ND	PF02989.19	Lyme disease proteins of unknown function	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000017	EVERYTHING	ASM1913465v1	943	82	522	11	0	0.990376928	0.95049266	0.97002499	ND	ND	PF05102.17	"holin, BlyA family"	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000018	EVERYTHING	ASM1913465v1	844	82	517	16	0	0.961542664	0.772948212	0.856992323	ND	ND	PF05619.16	Borrelia burgdorferi protein of unknown function (DUF787)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000019	EVERYTHING	ASM1913465v1	938	82	515	12	0	0.909049491	0.716901898	0.801622127	ND	ND	PF05606.16	Borrelia burgdorferi protein of unknown function (DUF777)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000020	EVERYTHING	ASM1913465v1	1010	82	513	18	0	0.964950924	0.88554088	0.923542043	ND	ND	PF13029.11	Domain of unknown function (DUF3890)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000021	EVERYTHING	ASM1913465v1	854	82	511	12	0	0.965069813	0.878761706	0.919895756	ND	ND	PF05246.16	Protein of unknown function (DUF735)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000022	EVERYTHING	ASM1913465v1	1022	82	501	11	0	0.979740721	0.846291616	0.908139841	ND	ND	PF10934.13	Protein of unknown function (DUF2634)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000023	EVERYTHING	ASM1913465v1	933	82	501	10	0	0.973422022	0.772567457	0.861441819	ND	ND	PF07341.16	Protein of unknown function (DUF1473)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000024	EVERYTHING	ASM1913465v1	842	82	491	11	0	0.970467054	0.828342385	0.893790056	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
